id,song,song_rank,line_idx,word_idx,word_text,issue_type,issue_label,severity,is_derivative,start,end,duration,gap_from_prev,line_text,word_source,section_type,root_cause_hint,repair_suggestion
love-them-harder_L72_W5_duration_undersize,love-them-harder,27,72,5,harder,duration_undersize,duration 0.030s < 0.04s,warning,False,234.24,234.27,0.03,,"Love them harder, love them harder",transcription,hook,unknown_undersize,manual_review
love-them-harder_L74_W0_duration_undersize,love-them-harder,27,74,0,Love,duration_undersize,duration 0.020s < 0.04s,warning,False,236.0,236.02,0.02,,"Love them harder, love them harder",transcription,outro,unknown_undersize,manual_review
love-them-harder_L74_W1_duration_undersize,love-them-harder,27,74,1,them,duration_undersize,duration 0.040s < 0.04s,warning,False,236.02,236.06,0.04,,"Love them harder, love them harder",transcription,outro,unknown_undersize,manual_review
love-them-harder_L74_W5_duration_undersize,love-them-harder,27,74,5,harder,duration_undersize,duration 0.040s < 0.04s,warning,False,236.36,236.4,0.04,,"Love them harder, love them harder",transcription,outro,unknown_undersize,manual_review
love-them-harder_L75_W0_duration_undersize,love-them-harder,27,75,0,Love,duration_undersize,duration 0.020s < 0.04s,warning,False,236.4,236.42,0.02,,"Love them harder, love them harder",transcription,outro,unknown_undersize,manual_review
marquis-song_L2_W1_gap_from_prev,marquis-song,31,2,1,say,gap_from_prev,gap 1.67s from previous word,warning,False,38.933,39.18,0.247,1.673,I'll say it now for you,whisper_plus_vocal_onset,interlude,independent_gap,fix_inversion_first
marquis-song_L6_W1_gap_from_prev,marquis-song,31,6,1,here's,gap_from_prev,gap 1.07s from previous word,warning,False,51.32,51.52,0.2,1.067,"Marquis, here's my witness",transcription,verse,independent_gap,fix_inversion_first
marquis-song_L20_W1_gap_from_prev,marquis-song,31,20,1,you,gap_from_prev,gap 1.00s from previous word,warning,False,104.98,105.4,0.42,1.0,If you use the devil’s plays,transcription,chorus,independent_gap,fix_inversion_first
marquis-song_L25_W0_duration_undersize,marquis-song,31,25,0,debut,duration_undersize,duration 0.015s < 0.04s,warning,False,123.605,123.62,0.015,,debut ep was out I reached out to share,whisper_plus_vocal_onset,verse,unknown_undersize,manual_review
marquis-song_L29_W2_gap_from_prev,marquis-song,31,29,2,I,gap_from_prev,gap 0.76s from previous word,warning,False,138.58,139.0,0.42,0.761,And again I was ignored,transcription,verse,independent_gap,fix_inversion_first
marquis-song_L46_W4_duration_undersize,marquis-song,31,46,4,interests,duration_undersize,duration 0.040s < 0.04s,warning,False,191.02,191.06,0.04,,Because it served your interests,transcription,verse,unknown_undersize,manual_review
marquis-song_L47_W0_duration_undersize,marquis-song,31,47,0,You,duration_undersize,duration 0.040s < 0.04s,warning,False,186.46,186.5,0.04,,You even listened to MISCLASSIFIED,transcription,verse,unknown_undersize,manual_review
marquis-song_L47_W2_gap_from_prev,marquis-song,31,47,2,listened,gap_from_prev,gap 4.29s from previous word,warning,False,191.989,192.12,0.131,4.289,You even listened to MISCLASSIFIED,whisper_plus_vocal_onset,verse,independent_gap,fix_inversion_first
marquis-song_L82_W7_gap_from_prev,marquis-song,31,82,7,but,gap_from_prev,gap 0.63s from previous word,warning,False,337.632,337.9,0.268,0.632,"that if someone calls themself a Christian, but is idolatrous",whisper_plus_vocal_onset,documentary_bridge,independent_gap,fix_inversion_first
marquis-song_L84_W6_gap_from_prev,marquis-song,31,84,6,this,gap_from_prev,gap 1.01s from previous word,warning,False,349.333,349.68,0.347,1.008,"If I’m understanding the situation correctly,  this seems to be",whisper_plus_vocal_onset,documentary_bridge,independent_gap,fix_inversion_first
marquis-song_L88_W11_gap_from_prev,marquis-song,31,88,11,"mark,",gap_from_prev,gap 2.02s from previous word,warning,False,371.82,372.12,0.3,2.023,"have tried to help you see where you have missed the mark,",transcription,documentary_bridge,independent_gap,fix_inversion_first
marquis-song_L106_W4_gap_from_prev,marquis-song,31,106,4,as,gap_from_prev,gap 2.05s from previous word,warning,False,454.08,454.38,0.3,2.053,You only accepted yours as maturing,whisper_plus_vocal_onset,verse,independent_gap,fix_inversion_first
misclassified_L5_W1_gap_from_prev,misclassified,7,5,1,justice,gap_from_prev,gap 1.28s from previous word,warning,False,20.928,21.24,0.312,1.278,And justice never prevails,whisper_plus_vocal_onset,intro,independent_gap,fix_inversion_first
misclassified_L8_W8_gap_from_prev,misclassified,7,8,8,judgement,gap_from_prev,gap 1.32s from previous word,warning,False,43.82,44.12,0.3,1.32,You never got to know me yet pre-determined judgement,transcription,verse,independent_gap,fix_inversion_first
misclassified_L9_W0_duration_undersize,misclassified,7,9,0,You,duration_undersize,duration 0.040s < 0.04s,warning,False,42.64,42.68,0.04,,You asked to hear my story but it was filtered by your grudgement,transcription,verse,unknown_undersize,manual_review
misclassified_L9_W12_gap_from_prev,misclassified,7,9,12,grudgement,gap_from_prev,gap 2.70s from previous word,warning,False,48.3,48.6,0.3,2.705,You asked to hear my story but it was filtered by your grudgement,transcription,verse,independent_gap,fix_inversion_first
misclassified_L10_W0_duration_undersize,misclassified,7,10,0,I,duration_undersize,duration 0.040s < 0.04s,warning,False,45.312,45.352,0.04,,I got God’s favor on me but not the same type of abundance,whisper_plus_vocal_onset,verse,unknown_undersize,manual_review
