queue_rank,song_id,canonical_artist,canonical_title,first_release_year,dad_favorite_source_count,dad_source_count,appears_on_dad_favorite_source,popularity_score,popularity_status,recognition_status
193,S2385ae1d84,Garth Brooks,Standing Outside the Fire,,1,1,1,,not_enriched,unreviewed
194,S23b8b30cf5,Bread,Baby I’m‐A Want You,,1,1,1,,not_enriched,unreviewed
195,S23ba19f11c,The Byrds,The Bells of Rhymney,,1,1,1,,not_enriched,unreviewed
196,S23bb183575,Eric Clapton,Hey Hey,,1,1,1,,not_enriched,unreviewed
197,S23ccc97b57,Wings,Listen to What the Man Said,,1,1,1,,not_enriched,unreviewed
198,S2421670991,The Beatles,Polythene Pam,,1,1,1,,not_enriched,unreviewed
199,S2443e899f8,Heart,If Looks Could Kill,,1,1,1,,not_enriched,unreviewed
200,S24dacde549,Fleetwood Mac,Over My Head,,1,1,1,,not_enriched,unreviewed
201,S254fc150e7,Paul McCartney,Once Upon a Long Ago,,1,1,1,,not_enriched,unreviewed
202,S26653d0778,Paul McCartney,Ebony and Ivory,,1,1,1,,not_enriched,unreviewed
203,S269554a206,Huey Lewis and the News,You Crack Me Up,,1,1,1,,not_enriched,unreviewed
204,S26c19fb518,The J. Geils Band,Givin’ It All Up,,1,1,1,,not_enriched,unreviewed
205,S2751df1e79,Creedence Clearwater Revival,I Put a Spell on You,,1,1,1,,not_enriched,unreviewed
206,S27b40098c8,Garth Brooks,If Tomorrow Never Comes,,1,1,1,,not_enriched,unreviewed
207,S28476b4733,Eagles,Nightingale,,1,1,1,,not_enriched,unreviewed
208,S284fce8498,Huey Lewis and the News,Finally Found a Home,,1,1,1,,not_enriched,unreviewed
209,S287f4fd1f7,Jackson Browne,The Pretender,,1,1,1,,not_enriched,unreviewed
210,S28b55d7021,The Mamas & the Papas,California Dreamin',,1,1,1,,not_enriched,unreviewed
211,S28cb8dd456,Dire Straits,Industrial Disease,,1,1,1,,not_enriched,unreviewed
212,S291d025b29,Enigma,The Dream of the Dolphin,,1,1,1,,not_enriched,unreviewed
213,S296a1dadb3,The Beatles,Within You Without You,,1,1,1,,not_enriched,unreviewed
214,S2a10d47659,The Steve Miller Band,Electro Lux Imbroglio,,1,1,1,,not_enriched,unreviewed
215,S2b3e75cb30,Gordon Lightfoot,Bitter Green,,1,1,1,,not_enriched,unreviewed
216,S2b3f1d66ec,Icehouse,Can't Help Myself,,1,1,1,,not_enriched,unreviewed
217,S2b3fc4925a,Bob Dylan,Gotta Serve Somebody,,1,1,1,,not_enriched,unreviewed
218,S2b76f59054,Billy Joel,Just the Way You Are,,1,1,1,,not_enriched,unreviewed
219,S2b9c058b7d,Eric Clapton,Malted Milk,,1,1,1,,not_enriched,unreviewed
220,S2bbe6960e2,Derek and the Dominos,Layla,,1,1,1,,not_enriched,unreviewed
221,S2bd6dba85f,Huey Lewis and the News,Bad Is Bad,,1,1,1,,not_enriched,unreviewed
222,S2c2bce52f5,The Mamas & the Papas,"Trip, Stumble and Fall",,1,1,1,,not_enriched,unreviewed
223,S2d332831eb,Garth Brooks,Ain't Going Down ('til the Sun Comes Up),,1,1,1,,not_enriched,unreviewed
224,S2d698f011c,Billy Joel,This Night,,1,1,1,,not_enriched,unreviewed
225,S2d77f57244,Icehouse,We Can Get Together,,1,1,1,,not_enriched,unreviewed
226,S2d8408508e,Paul McCartney,Man We Was Lonely,,1,1,1,,not_enriched,unreviewed
227,S2d8e8c502b,Eric Clapton,Willie and the Hand Jive,,1,1,1,,not_enriched,unreviewed
228,S2ddd3fcded,Led Zeppelin,Celebration Day,,1,1,1,,not_enriched,unreviewed
229,S2df38bb0f5,The Beatles,In My Life,,1,1,1,,not_enriched,unreviewed
230,S2e0aa0ff82,The Beatles,I Need You,,1,1,1,,not_enriched,unreviewed
231,S2e23313132,Collective Soul,Scream,,1,1,1,,not_enriched,unreviewed
232,S2e5a1ade7b,Sheryl Crow,No One Said It Would Be Easy,,1,1,1,,not_enriched,unreviewed
233,S2ed2d4e408,The Beatles,Blue Jay Way,,1,1,1,,not_enriched,unreviewed
234,S2ee2631881,Bob Dylan,All Along the Watchtower,,1,1,1,,not_enriched,unreviewed
235,S2f4f1efd55,Dire Straits,It Never Rains,,1,1,1,,not_enriched,unreviewed
236,S2fa5b540f5,Icehouse,Jimmy Dean,,1,1,1,,not_enriched,unreviewed
237,S2fe618628b,Lindsey Buckingham,Spoken Introduction To:,,1,1,1,,not_enriched,unreviewed
